date,category,name,change,percentage
2020-03-01,Video Card Description,NVIDIA GeForce GTX 770,-0.0002,0.0025
2020-03-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0,0.0018
2020-03-01,Video Card Description,NVIDIA GeForce GTX 860M,-0.0002,0.0022
2020-03-01,Video Card Description,NVIDIA GeForce GTX 950,-0.0007,0.0054
2020-03-01,Video Card Description,NVIDIA GeForce GTX 950M,0.0,0.0072
2020-03-01,Video Card Description,NVIDIA GeForce GTX 960,-0.0027,0.0166
2020-03-01,Video Card Description,NVIDIA GeForce GTX 960M,-0.0006,0.0122
2020-03-01,Video Card Description,NVIDIA GeForce GTX 965M,-0.0001,0.0015
2020-03-01,Video Card Description,NVIDIA GeForce GTX 970,-0.0017,0.0204
2020-03-01,Video Card Description,NVIDIA GeForce GTX 970M,-0.0002,0.0028
2020-03-01,Video Card Description,NVIDIA GeForce GTX 980,-0.0002,0.004
2020-03-01,Video Card Description,NVIDIA GeForce GTX 980 Ti,-0.0001,0.0038
2020-03-01,Video Card Description,NVIDIA GeForce MX110,0.0004,0.0023
2020-03-01,Video Card Description,NVIDIA GeForce MX130,0.0002,0.0025
2020-03-01,Video Card Description,NVIDIA GeForce MX150,0.0004,0.0069
2020-03-01,Video Card Description,NVIDIA GeForce MX250,0.0005,0.0033
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2060,0.0049,0.0259
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.0016,0.0072
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2070,0.0031,0.0192
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0027,0.0116
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2080,0.0008,0.0101
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.0017,0.0051
2020-03-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.0003,0.0073
2020-04-01,Video Card Description,NVIDIA GeForce 840M,0.0002,0.0034
2020-04-01,Video Card Description,NVIDIA GeForce 920M,0.0001,0.0038
2020-04-01,Video Card Description,NVIDIA GeForce 920MX,0.0001,0.0029
2020-04-01,Video Card Description,NVIDIA GeForce 940M,0.0004,0.0102
2020-04-01,Video Card Description,NVIDIA GeForce 940MX,0.0001,0.0022
2020-04-01,Video Card Description,NVIDIA GeForce GT 1030,0.0,0.0056
2020-04-01,Video Card Description,NVIDIA GeForce GT 630,0.0001,0.0027
2020-04-01,Video Card Description,NVIDIA GeForce GT 710,0.0001,0.003
2020-04-01,Video Card Description,NVIDIA GeForce GT 720M,0.0003,0.0056
2020-04-01,Video Card Description,NVIDIA GeForce GT 730,-0.0002,0.0064
2020-04-01,Video Card Description,NVIDIA GeForce GT 740M,0.0002,0.0023
2020-04-01,Video Card Description,NVIDIA GeForce GTS 450,0.0002,0.0017
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1050,-0.0002,0.0517
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,-0.0033,0.081
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1060,-0.0067,0.1146
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1070,-0.0002,0.0404
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,-0.0009,0.0111
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1080,-0.0006,0.0243
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,0.0004,0.0156
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1650,0.0012,0.0238
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1660,-0.0007,0.0133
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1660 SUPER,0.0014,0.0056
2020-04-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0006,0.0243
2020-04-01,Video Card Description,NVIDIA GeForce GTX 550 Ti,0.0,0.0022
2020-04-01,Video Card Description,NVIDIA GeForce GTX 650,0.0,0.0038
2020-04-01,Video Card Description,NVIDIA GeForce GTX 650 Ti,0.0,0.0015
2020-04-01,Video Card Description,NVIDIA GeForce GTX 660,0.0,0.0039
2020-04-01,Video Card Description,NVIDIA GeForce GTX 750,-0.0001,0.0043
2020-04-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,-0.0008,0.0146
2020-04-01,Video Card Description,NVIDIA GeForce GTX 760,0.0,0.0045
2020-04-01,Video Card Description,NVIDIA GeForce GTX 770,0.0,0.0025
2020-04-01,Video Card Description,NVIDIA GeForce GTX 850M,0.0,0.0018
2020-04-01,Video Card Description,NVIDIA GeForce GTX 860M,0.0001,0.0023
2020-04-01,Video Card Description,NVIDIA GeForce GTX 950,-0.0001,0.0053
2020-04-01,Video Card Description,NVIDIA GeForce GTX 950M,0.0002,0.0074
2020-04-01,Video Card Description,NVIDIA GeForce GTX 960,0.0004,0.017
2020-04-01,Video Card Description,NVIDIA GeForce GTX 960M,0.0,0.0122
2020-04-01,Video Card Description,NVIDIA GeForce GTX 965M,0.0,0.0015
